rs28933979	TTR
rs8050894	VKORC1
rs944289	NKX2-1
rs965513	FOXE1
rs121908866	TSHR
rs10503669	LPL
rs3764261	CETP
rs693	APOB
rs174546	FADS1
rs3135506	APOA5
rs4420638	APOC1
rs429358	APOE
rs12590273	SLC24A4
rs4663105	BIN1
rs1859788	ZCWPW1
rs75932628	TREM2
rs63750082	PSEN1
rs6733839	BIN1
rs7831810	CLU
rs9331888	CLU
rs7274581	CASS4
rs2373115	GAB2
rs7019241	GOLM1
rs11136000	CLU
rs3851179	PICALM
rs61822977	CR1
rs1476679	ZCWPW1
rs2741342	CHRNA2
rs3865444	CD33
rs11016864	MGMT
rs6572869	FERMT2
rs6656401	CR1
rs2227564	PLAU
rs5963409	OTC
rs145999145	PLD3
rs63750687	PSEN1
rs661	PSEN1
rs63750900	PSEN1
rs63749824	PSEN1
rs63749884	PSEN2
rs63750666	PSEN2
rs28936379	PSEN2
rs28936380	PSEN2
rs63749851	PSEN2
rs63750215	PSEN2
rs63750066	APP
rs34637584	LRRK2
rs1815739	ACTN3
rs4836027	SNCAIP
rs4994	ADRB3
rs1001179	CAT
rs6721961	NFE2L2
rs1050828	G6PD
rs3811647	TF
rs4820268	TMPRSS6
rs7385804	TFR2
rs1801133	MTHFR
rs4253417	F11
rs2288904	SLC44A2
rs3211752	F10
rs1654425	GP6
rs174536	MYRF
rs731839	PEPD
rs6048	BRCC3
rs1800562	HFE
rs1799945	HFE
rs1800730	HFE
rs1799963	F2
rs6025	F5
rs13084580	CSRNP1
rs6795524	PROS1
rs2066865	FGG
rs2187668	HLA-DQA1
rs17561	IL1A
rs1143627	IL1B
rs1800795	IL6
rs1800796	IL6
rs1800797	IL6
rs16944	IL1B
rs1799964	TNF
rs1800630	TNF
rs1800587	IL1A
rs4252041	IL1RN
rs9005	IL1RN
rs1799724	TNF
rs1800629	TNF
rs3093726	TNF
rs358806	chr3:55279372
rs2295490	TRIB3
rs7754840	CDKAL1
rs10946398	CDKAL1
rs7756992	CDKAL1
rs4712523	CDKAL1
rs9300039	API5
rs13266634	SLC30A8
rs7903146	TCF7L2
rs12255372	TCF7L2
rs7901695	TCF7L2
rs4506565	TCF7L2
rs4402960	IGF2BP2
rs1470579	IGF2BP2
rs7923837	HHEX
rs5219	KCNJ11
rs5215	KCNJ11
rs11868035	SREBF1
rs4655595	PDE4B
rs12304921	SLC11A2
rs741301	ELMO1
rs2212434	EMSY
rs12964116	SERPINB7
rs2395182	HLA-DRA
rs7454108	HLA-DQ8
rs4713586	HLA-DQ
rs4988235	MCM6
rs2322659	LCT
rs2052129	DAO
rs1317082	TERC
rs1079597	DRD2
rs671	ALDH2
rs2149954	EBF1
rs4343	ACE
rs4961	ADD1
rs3865418	NEDD4L
rs9739493	WSCD2
rs5186	AGTR1
rs2288774	NEDD4L
rs4149601	NEDD4L
rs6749447	STK39
rs7997012	HTR2A
rs6295	HTR1A
rs2943634	2q36.3
rs1800779	NOS3
rs891512	NOS3
rs1333049	9p21.3
rs5443	GNB3
rs1799950	BRCA1
rs28897696	BRCA1
rs144848	BRCA2
rs9340799	ESR1
rs1805007	MC1R
rs322458	STXBP5L
rs478304	OVOL1
rs1159268	TGFB2
rs296522	INAVA
rs6842241	EDNRA
rs4878737	SHB
rs4911414	ASIP
rs38055	FST
rs17265703	CSTA
rs9398069	PRDM1
rs1015362	ASIP
rs12203592	IRF4
rs6059655	RALY
rs1805006	MC1R
rs35318931	SRPX
rs10490924	ARMS2
rs4143094	GATA3
rs34612342	MUTYH
rs36053993	MUTYH
rs7775228	HLA-DQB1
rs3736228	LRP5
rs4988321	LRP5
rs17580	SERPINA1
rs28929474	SERPINA1
rs7216389	ORMDL3
rs4633	COMT
rs1042713	ADRB2
rs1042714	ADRB2
rs6313	HTR2A
rs1048101	ADRA1A
rs4818	COMT
rs6323	MAOA
rs2568958	NEGR1
rs10149470	KLC1
rs12624433	SLC12A5
rs6564851	BCMO1
rs11950646	SLC23A1
rs6053005	SLC23A2
rs2238140	VDR
rs886441	VDR
rs7975232	VDR
rs12717991	VDR
rs731236	VDR
rs2239179	VDR
rs2282679	GC
rs7129781	CYP2R1
rs1544410	VDR
rs4516035	VDR
rs56382517	VDR
rs11574129	VDR
rs10783218	VDR
rs11574099	VDR
rs2239181	VDR
rs1540339	VDR
rs2228570	VDR
rs28937595	SLC19A2
rs2736428	SLC44A4
rs2075798	SLC44A4
rs4654748	ALPL
rs121908540	SLC19A2
rs12661281	SLC44A4
rs4947332	SLC44A4
rs614549	SLC44A4
rs74315374	SLC19A2
rs116706632	SLC44A4
rs7085104	AS3MT
rs6461049	MAD1L0
rs1198588	NFU1P2
rs1006737	CACNA1C
rs17691888	CACNB2
rs4129585	TSNARE1
rs7940866	SNX18/NTM
rs2905424	MAU2/GATAD2A
rs2373000	QPCT
rs6878284	SLCO6A1
rs4687552	ITIH3
rs12991836	ZEB2
rs2949006	FTCDNL1
rs4801131	LOC105372125
rs778371	SNORC
rs11532322	C12orf65
rs1538774	SDCCAG8
rs171748	LINC02057/SMIM15-AS1
rs2910032	LINC01470 
rs12608932	UNC13A
rs80265967	SOD1
rs113247976	KIF5A
rs75087725	CFAP410
rs2568958	NEGR1
rs1568452	VRK2
rs34937911	BEND4
rs913930	TLR4
rs7932640	GRM5
rs78337797	SOX5
rs10149470	KLC1
rs12624433	SLC12A5
rs35749011	GBA
rs823118	NUCKS1/SLC41A1
rs10797576	SIPA1L2
rs6430538	TMEM163/CCNT2
rs1474055	STK39
rs12637471	MCCC1
rs34311866	TMEM175/DGKQ
rs356182	SNCA
rs9275326	HLA-DRB6/HLA-DQA1
rs199347	KLHL7/NUPL2/GPNMB
rs329648	MIR4697
rs11060180	OGFOD2
rs11158026	GCH1
rs1555399	TMEM229B
rs2414739	VPS13C
rs14235	ZNF646/KAT8
rs12456492	SYT4
rs62120679	LSM7
rs744373	BIN1
rs9331888	CLU
rs6691117	CR1
rs592297	PICALM
rs4938933	MS4A
rs1562990	MS4A
rs9349407	CD2AP
rs157581	TOMM40
rs11556505	TOMM40
rs1160985	TOMM40
rs4945261	GAB2
rs5984894	PCDH11X
rs597668	EXOC3L2
rs9271192	HLA-DRB5/DRB1
rs708012	MTCH1/FGD2
rs1695	GSTP1
rs2287926	VCAN
rs429358	APOE
rs7412	APOE
rs61822977	CR1
rs6733839	BIN1
rs1476679	ZCWPW1
rs2741342	CHRNA2
rs7831810	CLU
rs9331888	CLU
rs6572869	FERMT2
rs12590273	SLC24A4
rs7274581	CASS4
rs6656401	CR1
rs4663105	BIN1
rs1859788	ZCWPW1
rs2227564	PLAU
rs2373115	GAB2
rs5963409	OTC
rs7019241	GOLM1
rs145999145	PLD3
rs75932628	TREM2
rs3865444	CD33
rs11136000	CLU
rs3851179	PICALM
rs11016864	MGMT
