rs28933979	TTR
rs8050894	VKORC1
rs944289	NKX2-1
rs965513	FOXE1
rs121908866	TSHR
rs10503669	LPL
rs3764261	CETP
rs693	APOB
rs174546	FADS1
rs3135506	APOA5
rs4420638	APOC1
rs429358	APOE
rs12590273	SLC24A4
rs4663105	BIN1
rs1859788	ZCWPW1
rs75932628	TREM2
rs63750082	PSEN1
rs6733839	BIN1
rs7831810	CLU
rs9331888	CLU
rs7274581	CASS4
rs2373115	GAB2
rs7019241	GOLM1
rs11136000	CLU
rs3851179	PICALM
rs61822977	CR1
rs1476679	ZCWPW1
rs2741342	CHRNA2
rs3865444	CD33
rs11016864	MGMT
rs6572869	FERMT2
rs6656401	CR1
rs2227564	PLAU
rs5963409	OTC
rs145999145	PLD3
rs63750687	PSEN1
rs661	PSEN1
rs63750900	PSEN1
rs63749824	PSEN1
rs63749884	PSEN2
rs63750666	PSEN2
rs28936379	PSEN2
rs28936380	PSEN2
rs63749851	PSEN2
rs63750215	PSEN2
rs63750066	APP
rs34637584	LRRK2
rs1815739	ACTN3
rs4836027	SNCAIP
rs4994	ADRB3
rs1001179	CAT
rs6721961	NFE2L2
rs1050828	G6PD
rs3811647	TF
rs4820268	TMPRSS6
rs7385804	TFR2
rs1801133	MTHFR
rs4253417	F11
rs2288904	SLC44A2
rs3211752	F10
rs1654425	GP6
rs174536	MYRF
rs731839	PEPD
rs6048	BRCC3
rs1800562	HFE
rs1799945	HFE
rs1800730	HFE
rs1799963	F2
rs6025	F5
rs13084580	CSRNP1
rs6795524	PROS1
rs2066865	FGG
rs2187668	HLA-DQA1
rs17561	IL1A
rs1143627	IL1B
rs1800795	IL6
rs1800796	IL6
rs1800797	IL6
rs16944	IL1B
rs1799964	TNF
rs1800630	TNF
rs1800587	IL1A
rs4252041	IL1RN
rs9005	IL1RN
rs1799724	TNF
rs1800629	TNF
rs3093726	TNF
rs358806	chr3:55279372
rs2295490	TRIB3
rs7754840	CDKAL1
rs10946398	CDKAL1
rs7756992	CDKAL1
rs4712523	CDKAL1
rs9300039	API5
rs13266634	SLC30A8
rs7903146	TCF7L2
rs12255372	TCF7L2
rs7901695	TCF7L2
rs4506565	TCF7L2
rs4402960	IGF2BP2
rs1470579	IGF2BP2
rs7923837	HHEX
rs5219	KCNJ11
rs5215	KCNJ11
rs11868035	SREBF1
rs4655595	PDE4B
rs12304921	SLC11A2
rs741301	ELMO1
rs2212434	EMSY
rs12964116	SERPINB7
rs2395182	HLA-DRA
rs7454108	HLA-DQ8
rs4713586	HLA-DQ
rs4988235	MCM6
rs2322659	LCT
rs2052129	DAO
rs1317082	TERC
rs1079597	DRD2
rs671	ALDH2
rs2149954	EBF1
rs4343	ACE
rs4961	ADD1
rs3865418	NEDD4L
rs9739493	WSCD2
rs5186	AGTR1
rs2288774	NEDD4L
rs4149601	NEDD4L
rs6749447	STK39
rs7997012	HTR2A
rs6295	HTR1A
rs2943634	2q36.3
rs1800779	NOS3
rs891512	NOS3
rs1333049	9p21.3
rs5443	GNB3
rs1799950	BRCA1
rs28897696	BRCA1
rs144848	BRCA2
rs9340799	ESR1
rs1805007	MC1R
rs322458	STXBP5L
rs478304	OVOL1
rs1159268	TGFB2
rs296522	INAVA
rs6842241	EDNRA
rs4878737	SHB
rs4911414	ASIP
rs38055	FST
rs17265703	CSTA
rs9398069	PRDM1
rs1015362	ASIP
rs12203592	IRF4
rs6059655	RALY
rs1805006	MC1R
rs35318931	SRPX
rs10490924	ARMS2
rs4143094	GATA3
rs34612342	MUTYH
rs36053993	MUTYH
rs7775228	HLA-DQB1
rs3736228	LRP5
rs4988321	LRP5
rs17580	SERPINA1
rs28929474	SERPINA1
rs7216389	ORMDL3
rs4633	COMT
rs1042713	ADRB2
rs1042714	ADRB2
rs6313	HTR2A
rs1048101	ADRA1A
rs4818	COMT
rs6323	MAOA
rs2568958	NEGR1
rs10149470	KLC1
rs12624433	SLC12A5
rs6564851	BCMO1
rs11950646	SLC23A1
rs6053005	SLC23A2
rs2238140	VDR
rs886441	VDR
rs7975232	VDR
rs12717991	VDR
rs731236	VDR
rs2239179	VDR
rs2282679	GC
rs7129781	CYP2R1
rs1544410	VDR
rs4516035	VDR
rs56382517	VDR
rs11574129	VDR
rs10783218	VDR
rs11574099	VDR
rs2239181	VDR
rs1540339	VDR
rs2228570	VDR
rs28937595	SLC19A2
rs2736428	SLC44A4
rs2075798	SLC44A4
rs4654748	ALPL
rs121908540	SLC19A2
rs12661281	SLC44A4
rs4947332	SLC44A4
rs614549	SLC44A4
rs74315374	SLC19A2
rs116706632	SLC44A4
rs7085104	AS3MT
rs6461049	MAD1L0
rs1198588	NFU1P2
rs1006737	CACNA1C
rs17691888	CACNB2
rs4129585	TSNARE1
rs7940866	SNX18/NTM
rs2905424	MAU2/GATAD2A
rs2373000	QPCT
rs6878284	SLCO6A1
rs4687552	ITIH3
rs12991836	ZEB2
rs2949006	FTCDNL1
rs4801131	LOC105372125
rs778371	SNORC
rs11532322	C12orf65
rs1538774	SDCCAG8
rs171748	LINC02057/SMIM15-AS1
rs2910032	LINC01470
rs12608932	UNC13A
rs80265967	SOD1
rs113247976	KIF5A
rs75087725	CFAP410
rs2568958	NEGR1
rs1568452	VRK2
rs34937911	BEND4
rs913930	TLR4
rs7932640	GRM5
rs78337797	SOX5
rs10149470	KLC1
rs12624433	SLC12A5
rs35749011	GBA
rs823118	NUCKS1/SLC41A1
rs10797576	SIPA1L2
rs6430538	TMEM163/CCNT2
rs1474055	STK39
rs12637471	MCCC1
rs34311866	TMEM175/DGKQ
rs356182	SNCA
rs9275326	HLA-DRB6/HLA-DQA1
rs199347	KLHL7/NUPL2/GPNMB
rs329648	MIR4697
rs11060180	OGFOD2
rs11158026	GCH1
rs1555399	TMEM229B
rs2414739	VPS13C
rs14235	ZNF646/KAT8
rs12456492	SYT4
rs62120679	LSM7
rs744373	BIN1
rs9331888	CLU
rs6691117	CR1
rs592297	PICALM
rs4938933	MS4A
rs1562990	MS4A
rs9349407	CD2AP
rs157581	TOMM40
rs11556505	TOMM40
rs1160985	TOMM40
rs4945261	GAB2
rs5984894	PCDH11X
rs597668	EXOC3L2
rs9271192	HLA-DRB5/DRB1
rs708012	MTCH1
rs1695	GSTP1
rs2287926	VCAN
rs429358	APOE
rs7412	APOE
rs61822977	CR1
rs6733839	BIN1
rs1476679	ZCWPW1
rs2741342	CHRNA2
rs7831810	CLU
rs9331888	CLU
rs6572869	FERMT2
rs12590273	SLC24A4
rs7274581	CASS4
rs6656401	CR1
rs4663105	BIN1
rs1859788	ZCWPW1
rs2227564	PLAU
rs2373115	GAB2
rs5963409	OTC
rs7019241	GOLM1
rs145999145	PLD3
rs75932628	TREM2
rs3865444	CD33
rs11136000	CLU
rs3851179	PICALM
rs11016864	MGMT
rs2816316	RGS1
rs13003464	REL
rs917997	IL18RAP
rs13010713	ITGA4
rs4675374	ICOS
rs13098911	CCR1
rs17810546	IL12A
rs1464510	LPP
rs13151961	KIAA1109
rs2187668	HLA-DQA1
rs2327832	TNFAIP3
rs1738074	TAGAP
rs653178	SH2B3
rs1893217	PTPN2
rs3748816	MMEL1
rs10903122	RUNX3
rs11712165	CD80
rs10806425	BACH2
rs802734	THEMIS
rs9792269	MYC
rs1250552	ZMIZ1
rs11221332	ETS1
rs12928822	PRM1
rs4819388	ICOSLG
rs11127292	MYT1L
rs738409	PNPLA3
rs2294915	PNPLA3
rs2954038	TRIB1
rs340874	PROX1
rs780094	GCKR
rs10203174	THADA
rs243088	BCL11A
rs243021	BCL11A
rs7593730	RBMS1
rs13389219	GRB14
rs3923113	GRB14
rs2943640	IRS1
rs7578326	IRS1
rs1801282	PPARG
rs13081389	PPARG
rs1496653	UBE2E2
rs831571	PSMD6
rs6795735	ADAMTS9
rs11717195	ADCY5
rs11708067	ADCY5
rs1470579	IGF2BP2
rs6769511	IGF2BP2
rs16861329	ST64GAL1
rs4458523	WFS1
rs1801214	WFS1
rs459193	ANKRD55
rs4457053	ZBED3
rs7756992	CDKAL1
rs10440833	CDKAL1
rs17168486	DGKB
rs849135	JAZF1
rs849134	JAZF1
rs4607517	GCK
rs516946	ANK1
rs7845219	TP53INP1
rs896854	TP53INP1
rs3802177	SLC30A8
rs10811661	CDKN2A
rs10965250	CDKN2A
rs17791513	TLE4
rs13292136	TLE4
rs2796441	TLE1
rs11257655	CDC123
rs5015480	HHEX
rs163184	KCNQ1
rs231362	KCNQ1
rs5215	KCNJ11
rs1552224	ARAP1
rs10830963	MTNR1B
rs11063069	CCND2
rs2261181	HMGA2
rs1531343	HMGA2
rs2612035	HMGA2
rs4760790	TSPAN8/LGR5
rs12427353	HNF1A
rs7957197	HNF1A
rs1359790	SPRY2
rs7178572	HMG20A
rs12899811	PRC1
rs8042680	PRC1
rs9936385	FTO
rs11642841	FTO
rs7202877	BCAR1
rs4430796	HNF1B
rs11651755	HNF1B
rs12970134	MC4R
rs11873305	MC4R
rs10401969	CILP2
rs744653	WDR75–SLC40A1
rs8177240	TF
rs9990333	TFRC
rs1800562	HFE
rs1799945	HFE
rs7385804	TFR2
rs4921915	NAT2
rs651007	ABO
rs6486121	ARNTL
rs174577	FADS2
rs411988	TEX14
rs855791	TMPRSS6
rs964184	ZPR1
rs247617	CETP
rs72836561	CD300LG
rs116843064	ANGPTL4
rs673548	APOB
rs1535	FADS2
rs998584	VEGFA
rs2925979	CMIP
rs7124681	CELF1
rs1260326	GCKR
rs9987289	LOC157273
rs1800961	HNF4A
rs632057	LINC01625
rs11075253	PDXDC1
rs1534696	SNX10
rs7563362	TMEM18
rs13107325	SLC39A8
rs10913469	SEC16B
rs56282717	KCNH2
rs11789603	ABCA1
rs7138803	BCDIN3D
rs4921913	NAT2
rs2307111	POC5
rs9939609	FTO
rs17782313	MC4R
rs6548238	TMEM18
rs10938397	GNPDA2
rs7498665	SH2B1
rs10838738	MTCH2
rs11084753	KCTD15
rs2815752	NEGR1
rs7647305	ETV5
rs4923461	BDNF
rs10913469	SEC16B
rs713586	RBJ
rs12444979	GPRC5B
rs2241423	MAP2K5
rs2287019	QPCTL
rs1514175	TNNI3K
rs13107325	SLC39A8
rs2112347	FLJ35779
rs10968576	LRRN6C
rs3810291	TMEM160
rs13078807	CADM2
rs11847697	PRKD1
rs2890652	LRP1B
rs1555543	PTBP2
rs4771122	MTIF3
rs4929949	RPL27A
rs206936	NUDT3
rs10150332	NRXN3
rs987237	TFAP2B
rs9988642	IL23R
rs6677595	LCE3B/LCE3D
rs10789285	LRRC7
rs10865331	B3GNT2
rs17716942	KCNH7/IFIH1
rs28512356	TP63
rs7637230	NFKBIZ
rs2233278	TNIP1
rs12188300	IL12B
rs33980500	TRAF3IP2
rs582757	TNFAIP3
rs2451258	TAGAP
rs11795343	DDX58
rs2675662	CAMK2G/FUT11
rs694739	RPS6KA4
rs34394770	COG6
rs9533962	LOC144817
rs8016947	NFKBIA
rs11652075	CARD14
rs34536443	TYK2
rs892085	ILF3/CARM1
rs8128234	RUNX1
rs53576	OXTR
rs1025601	TSHZ1/SMIM21
rs1064213	PLCL1
rs10838687	MADD
rs11102807	TRIM33/BCAS2
rs11545787	RASD1
rs12051	COPZ2
rs12140153	INADL
rs12600452	GOSR2
rs1278402	ANKRD42
rs1421085	FTO
rs1502249	STIM2
rs1873958	ASB7
rs2072413	KCNH2
rs213462	POU3F4
rs2298117	TET1
rs2653349	HCRTR2
rs2850979	PPP3CA
rs3747463	FAM155B
rs3782860	SLC6A13
rs3923809	BTBD9
rs4027217	ETV1/DGKB
rs412000	TEX14
rs4775086	ADAM10
rs4936290	ZBTB16
rs62182135	HDAC4
rs6477309	PTPRD
rs6968240	FEZF1
rs7649164	CLRN1/MED12L
rs9476310	PRIM2/GUSBP4
rs9558942	ARGLU1/FAM155A
rs9950528	CELF4
rs2568958	NEGR1
rs1568452	VRK2
rs34937911	BEND4
rs913930	TLR4
rs7932640	GRM5
rs78337797	SOX5
rs10149470	KLC1
rs12624433	SLC12A5
rs4680	COMT
rs7997012	HTR2A
rs6295	HTR1A
rs5370	EDN1
rs4994	ADRB3
rs1815739	ACTN3
rs2074238	KCNQ1
rs3803357	BAHD1
rs1800497	DRD2
rs4420638	APOC1
rs12974194	-
rs6857	NECTIN2
rs242093	ACTN1-DT
rs9402011	PTPRK
rs933516	LINC02183
rs209440	MIR548AA2
rs2976502	RUNX1T1
rs2148710	FYN
rs322931	LINC01221
rs2400707	TSNARE1
rs2230288	GBA
rs7680557	SNCA-AS1
rs769449	APOE
rs7085104	AS3MT
rs6461049	MAD1L0
rs1198588	NFU1P2
rs1006737	CACNA1C
rs17691888	CACNB2
rs4129585	TSNARE1
rs7940866	SNX18/NTM
rs2905424	MAU2/GATAD2A
rs2373000	QPCT
rs6878284	SLCO6A1
rs4687552	ITIH3
rs12991836	ZEB2
rs2949006	FTCDNL1
rs4801131	LOC105372125
rs778371	SNORC
rs11532322	C12orf65
rs1538774	SDCCAG8
rs171748	SMIM15
rs2910032	LINC01470
rs6656401	CR1
rs744373	BIN1
rs1476679	ZCWPW1
rs11136000	CLU
rs3851179	RNU6-560P
rs11218343	SORL1
rs17125944	FERMT2
rs941648	SLC24A4
rs7225151	SCIMP
rs3795065	CNN2
rs7412	APOE
rs429358	APOE
rs6064392	CASS4
rs6857	NECTIN2
rs2075650	TOMM40
rs157582	TOMM40
rs283815	NECTIN2
rs157580	TOMM40
rs1160985	TOMM40
rs8106922	TOMM40
rs405509	APOE
rs6859	NECTIN2
rs35749011	GBA
rs823118	NUCKS1
rs10797576	SIPA1L2
rs6430538	TMEM163
rs1474055	STK39
rs12637471	MCCC1
rs34311866	TMEM175,DGKQ
rs356182	SNCA
rs9275326	HLA-DQA1
rs199347	GPNMB
rs329648	MIR4697
rs11060180	OGFOD2
rs11158026	GCH1
rs1555399	TMEM229B
rs2414739	VPS13C
rs14235	ZNF646
rs12456492	SYT4
rs62120679	LSM7
rs137852972	BSCL2
rs137852973	BSCL2
rs587780564	DYNC1H1
rs121908287	FIG4
rs104894078	GDAP1
rs397515442	GDAP1
rs28937906	GDAP1
rs104894812	GJB1
rs780594709	IGHMBP2
rs137852667	IGHMBP2
rs104894519	LITAF
rs145770066	MED25
rs119103263	MFN2
rs863224967	MFN2
rs138382758	MFN2
rs119103267	MFN2
rs121913601	MPZ
rs281865128	MPZ
rs121913586	MPZ
rs58982919	NEFL
rs62636503	NEFL
rs104894619	PMP22
rs189652973	REEP1
rs200945460	SCN9A
rs80359890	SH3TC2
rs80338931	SH3TC2
rs80338933	SH3TC2
rs80338934	SH3TC2
rs121912633	TRPV4
rs10166942	TRPM8
rs11172113	LRP1
rs2651899	PRDM16
rs4648356	MMEL1
rs1323292	RGS1
rs1014486	IL12A-AS1
rs802734	PTPRK
rs1250550	ZMIZ1
rs2069502	CDK4
rs12608932	UNC13A
rs80265967	SOD1
rs113247976	KIF5A
rs75087725	CFAP410
rs346291	AL132875.2
rs9341799	AL132875.2
rs2601828	ADCY9
rs1989647	PRKCB
rs2736100	TERT
rs4295627	CCDC26
rs891835	CCDC26
rs4977756	CDKN2A/B
rs498872	PHLDB1
rs6010620	RTEL1
rs1412829	CDKN2A/B
rs4809324	RTEL1
rs11979158	EGFR
rs2252586	EGFR
rs78378222	TP53
rs1920116	Near
rs1801591	ETFA
rs3751667	LMF1
rs10069690	TERT
